dbn,school_name,primary_address_line_1,city,postcode,latitude,longitude,gradespan,subway,pct_stu_safe,graduation_rate,attendance_rate,college_career_rate
02M308,Lower Manhattan Arts Academy,350 Grand Street,Manhattan,10002,40.717349,-73.989596,9 to 12,"B, D to Grand St; F, J, M, Z to Delancey St-Essex St",0.83999997,0.79000002,0.87,0.61000001
02M313,"James Baldwin School, The",351 West 18 Street,Manhattan,10011,40.742867,-74.002136,9 to 12,"1 to 18th St; A, C, E, L to 14th St",0.94999999,,0.67000002,
02M316,"Urban Assembly School of Business for Young Women, The",26 Broadway,Manhattan,10004,40.70568,-74.013302,9 to 12,"1 to South Ferry; 2, 3 to Wall St; 4, 5 to Bowling Green; A, C to Fulton St; J, Z to Broad St; R, W to Rector St",0.89999998,0.76999998,0.81,0.60000002
02M374,Gramercy Arts High School,40 Irving Place,Manhattan,10003,40.735494,-73.987659,9 to 12,"4, 5, 6, L, N, Q, R, W to 14th St-Union Square",0.80000001,0.91000003,0.83999997,0.58999997
02M376,NYC iSchool,131 Avenue Of The Americas,Manhattan,10013,40.7244,-74.004625,9 to 12,"1, 6, N, Q, J, Z to Canal St; B, D, F, M to Broadway-Lafayette St; C, E to Spring St; R, W to Prince St",0.94999999,1,0.94999999,0.88999999
02M392,Manhattan Business Academy,351 West 18th Street,Manhattan,10011,40.742867,-74.002136,9 to 12,"1 to 18th St; A, C, E, L to 14th St",0.85000002,0.89999998,0.85000002,0.68000001
02M393,Business of Sports School,439 West 49th Street,Manhattan,10019,40.76337,-73.9906,9 to 12,"1, C, E to 50th St; 2, 3, 7, A, S to Times Square-42nd St; B, D to 7th Ave; N, R, W to 49th St",0.89999998,0.87,0.85000002,0.57999998
02M394,Emma Lazarus High School for English Language Scholars,100 Hester Street,Manhattan,10002,40.716553,-73.993092,9 to 12,"6, N, Q, R, W to Canal St; B, D to Grand St; F to East Broadway; J, Z to Bowery; M to Delancey St-Essex St",0.97000003,,0.92000002,
02M399,"High School for Language and Diplomacy, The",40 Irving Place,Manhattan,10003,40.735494,-73.987659,9 to 12,"4, 5, 6, L, N, Q, R, W to 14th St-Union Square",0.77999997,0.82999998,0.82999998,0.67000002
02M400,High School for Environmental Studies,444 West 56th Street,Manhattan,10019,40.767791,-73.987531,9 to 12,"1, A, C, B, D to 59th St-Columbus Circle; E to 50th St; N, Q, R, W to 57th St",0.88,0.79000002,0.86000001,0.75999999
02M407,Institute for Collaborative Education (ICE),345 East 15th Street,Manhattan,10003,40.732447,-73.983031,6 to 12,"4, 5, 6, N, Q, R, W to 14th St-Union Square; L to 1st Ave",0.87,0.95999998,0.92000002,0.87
02M408,Professional Performing Arts High School (PPAS),328 West 48th Street,Manhattan,10036,40.761448,-73.988019,6 to 12,"1, C, E to 50th St; 2, 3, 7, A, S to Times Square-42nd St; B, D to 7th Ave; N, R, W to 49th St",0.93000001,0.98000002,0.93000001,0.70999998
02M411,Baruch College Campus High School,55 East 25th Street,Manhattan,10010,40.74193,-73.986521,9 to 12,"4, 5, L, N, Q, R, W to 14th St-Union Square; 6 to 28th St",0.92000002,1,0.95999998,0.98000002
02M412,N.Y.C. Lab School for Collaborative Studies,333 West 17th Street,Manhattan,10011,40.742129,-74.002198,9 to 12,"1 to 18th St; A, C, E, L to 14th St",0.91000003,0.97000003,0.94,0.88999999
02M413,School of the Future High School,127 East 22nd Street,Manhattan,10010,40.738952,-73.985479,6 to 12,"4, 5, L, N, Q to 14th St-Union Square; 6 to 23rd St; R, W to 23 St",0.86000001,0.94999999,0.94999999,0.89999998
02M414,N.Y.C. Museum School,333 West 17th Street,Manhattan,10011,40.742129,-74.002198,9 to 12,"1 to 18th St; A, C, E, L to 14th St",0.88,0.98000002,0.93000001,0.88
02M416,Eleanor Roosevelt High School,411 East 76th Street,Manhattan,10021,40.770187,-73.953608,9 to 12,6 to 77th St; Q to 72nd St,0.99000001,1,0.97000003,0.83999997
02M418,Millennium High School,75 Broad Street,Manhattan,10004,40.704541,-74.011552,9 to 12,"1 to South Ferry; 2, 3 to Wall St; 4, 5 to Bowling Green; A, C to Fulton St; J, Z to Broad St; R, W to Rector St",0.93000001,1,0.97000003,0.88
02M419,Landmark High School,351 West 18th Street,Manhattan,10011,40.742867,-74.002136,9 to 12,"1 to 18th St; A, C, E, L to 14th St",0.88,0.76999998,0.80000001,0.56999999
02M420,High School for Health Professions and Human Services,345 East 15th Street,Manhattan,10003,40.732447,-73.983031,9 to 12,"4, 5, 6, N, Q, R, W to 14th St-Union Square; L to 1st Ave",0.92000002,0.94999999,0.92000002,0.77999997
02M422,Quest to Learn,351 West 18th Street,Manhattan,10011,40.742867,-74.002136,6 to 12,"1 to 18th St; A, C, E, L to 14th St",0.79000002,0.81,0.86000001,0.58999997
02M425,Leadership and Public Service High School,90 Trinity Place,Manhattan,10006,40.70873,-74.012332,9 to 12,"1 to Rector St; 2, 3, A, C, J, Z to Fulton St; 4, 5 to Wall St; 6 to Brooklyn Bridge-City Hall; E to World Trade Center; R, W to Cortlandt St",0.94,0.88999999,0.82999998,0.55000001
02M427,Manhattan Academy for Arts & Language,111 East 33rd Street,Manhattan,10016,40.746176,-73.981241,9 to 12,"4, 5, 7, S to Grand Central-42nd St; 6 to 33rd St; B, D, F, M, N, Q, R, W to 34th St",0.81999999,0.64999998,0.87,0.61000001
02M432,Murray Hill Academy,111 East 33rd Street,Manhattan,10016,40.746176,-73.981241,9 to 12,"4, 5, 7, S to Grand Central-42nd St; 6 to 33rd St; B, D, F, M, N, Q, R, W to 34th St",0.93000001,0.69,0.80000001,0.47999999
02M437,Hudson High School of Learning Technologies,351 West 18th Street,Manhattan,10011,40.742867,-74.002136,9 to 12,"1 to 18th St; A, C, E, L to 14th St",0.81999999,0.81,0.81999999,0.51999998
02M438,International High School at Union Square,40 Irving Place,Manhattan,10003,40.735494,-73.987659,9 to 12,"4, 5, 6, L, N, Q, R, W to 14th St-Union Square",0.88999999,0.69,0.88999999,0.55000001
02M439,Manhattan Village Academy,43 West 22nd Street,Manhattan,10010,40.741497,-73.991512,9 to 12,"1 to 23rd St; 2, 3, L to 14th St; 4, 5, N, Q to 14th St-Union Square; 6 to 23rd St; F, M to 23rd St; R, W to 23rd St",0.92000002,0.99000001,0.98000002,0.92000002
02M449,Vanguard High School,317 East 67th Street,Manhattan,10065,40.765359,-73.960059,9 to 12,"4, 5, N, R, W to 59th St-Lexington Ave; 6 to 68th St-Hunter College; Q to 72nd St; F to Lexington Ave",0.91000003,0.77999997,0.87,0.68000001
02M459,Manhattan International High School,317 East 67th Street,Manhattan,10065,40.765359,-73.960059,9 to 12,"4, 5, N, R, W to 59th St-Lexington Ave; 6 to 68th St-Hunter College; Q to 72nd St; F to Lexington Ave",0.91000003,0.62,0.88,0.55000001
